"","River","trap_location","trap_opened","trap_closed","Updated","spp_raw","cnt","spp","spp_id","river_id","trap_id","cnt_id"
"1","Androscoggin","Brunswick","June 1",NA,2020-07-05 20:00:00,"Am.Shad",23,"American Shad",1,1,1,"1-1-1-2020-07-06"
"2","Aroostook","Tinker Dam","July 2",NA,2020-07-02 20:00:00,"Am.Shad",0,"American Shad",1,2,11,"2-1-11-2020-07-03"
"3","Kennebec","Benton Falls","May 1",NA,2020-06-28 20:00:00,"Am.Shad",9,"American Shad",1,3,2,"3-1-2-2020-06-29"
"4","Kennebec","Lockwood Dam","May 1",NA,2020-07-05 20:00:00,"Am.Shad",180,"American Shad",1,3,3,"3-1-3-2020-07-06"
"5","Narraguagus","Cherryfield","April 29",NA,2020-07-04 20:00:00,"Am.Shad",780,"American Shad",1,4,4,"4-1-4-2020-07-05"
"6","Penobscot","Milford fish lift","April 22",NA,2020-07-05 20:00:00,"Am.Shad",10995,"American Shad",1,5,5,"5-1-5-2020-07-06"
"7","Penobscot","Orono","April 22",NA,2020-07-05 20:00:00,"Am.Shad",2,"American Shad",1,5,6,"5-1-6-2020-07-06"
"8","Penobscot","Weldon Dam","April 30",NA,2020-07-05 20:00:00,"Am.Shad",0,"American Shad",1,5,7,"5-1-7-2020-07-06"
"9","Saco","Cataract (East + West Channels)","May 1",NA,2020-05-04 20:00:00,"Am.Shad",0,"American Shad",1,6,8,"6-1-8-2020-05-05"
"10","St. Croix","Milltown Dam","April 15",NA,2020-06-26 20:00:00,"Am.Shad",0,"American Shad",1,7,9,"7-1-9-2020-06-27"
"11","Union","Ellsworth","May 1",NA,2020-07-05 20:00:00,"Am.Shad",0,"American Shad",1,8,10,"8-1-10-2020-07-06"
"12","Androscoggin","Brunswick","June 1",NA,2020-07-05 20:00:00,"At.Salmon..MSW.",4,"Atlantic Salmon (MSW)",2,1,1,"1-2-1-2020-07-06"
"13","Aroostook","Tinker Dam","July 2",NA,2020-07-02 20:00:00,"At.Salmon..MSW.",0,"Atlantic Salmon (MSW)",2,2,11,"2-2-11-2020-07-03"
"14","Kennebec","Benton Falls","May 1",NA,2020-06-28 20:00:00,"At.Salmon..MSW.",0,"Atlantic Salmon (MSW)",2,3,2,"3-2-2-2020-06-29"
"15","Kennebec","Lockwood Dam","May 1",NA,2020-07-05 20:00:00,"At.Salmon..MSW.",44,"Atlantic Salmon (MSW)",2,3,3,"3-2-3-2020-07-06"
"16","Narraguagus","Cherryfield","April 29",NA,2020-07-04 20:00:00,"At.Salmon..MSW.",81,"Atlantic Salmon (MSW)",2,4,4,"4-2-4-2020-07-05"
"17","Penobscot","Milford fish lift","April 22",NA,2020-07-05 20:00:00,"At.Salmon..MSW.",1272,"Atlantic Salmon (MSW)",2,5,5,"5-2-5-2020-07-06"
"18","Penobscot","Orono","April 22",NA,2020-07-05 20:00:00,"At.Salmon..MSW.",3,"Atlantic Salmon (MSW)",2,5,6,"5-2-6-2020-07-06"
"19","Penobscot","Weldon Dam","April 30",NA,2020-07-05 20:00:00,"At.Salmon..MSW.",0,"Atlantic Salmon (MSW)",2,5,7,"5-2-7-2020-07-06"
"20","Saco","Cataract (East + West Channels)","May 1",NA,2020-05-04 20:00:00,"At.Salmon..MSW.",0,"Atlantic Salmon (MSW)",2,6,8,"6-2-8-2020-05-05"
"21","St. Croix","Milltown Dam","April 15",NA,2020-06-26 20:00:00,"At.Salmon..MSW.",0,"Atlantic Salmon (MSW)",2,7,9,"7-2-9-2020-06-27"
"22","Union","Ellsworth","May 1",NA,2020-07-05 20:00:00,"At.Salmon..MSW.",2,"Atlantic Salmon (MSW)",2,8,10,"8-2-10-2020-07-06"
"23","Androscoggin","Brunswick","June 1",NA,2020-07-05 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,1,1,"1-3-1-2020-07-06"
"24","Aroostook","Tinker Dam","July 2",NA,2020-07-02 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,2,11,"2-3-11-2020-07-03"
"25","Kennebec","Benton Falls","May 1",NA,2020-06-28 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,3,2,"3-3-2-2020-06-29"
"26","Kennebec","Lockwood Dam","May 1",NA,2020-07-05 20:00:00,"At.Salmon..grilse.",4,"Atlantic Salmon (Grilse)",3,3,3,"3-3-3-2020-07-06"
"27","Narraguagus","Cherryfield","April 29",NA,2020-07-04 20:00:00,"At.Salmon..grilse.",13,"Atlantic Salmon (Grilse)",3,4,4,"4-3-4-2020-07-05"
"28","Penobscot","Orono","April 22",NA,2020-07-05 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,5,6,"5-3-6-2020-07-06"
"29","Penobscot","Weldon Dam","April 30",NA,2020-07-05 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,5,7,"5-3-7-2020-07-06"
"30","Saco","Cataract (East + West Channels)","May 1",NA,2020-05-04 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,6,8,"6-3-8-2020-05-05"
"31","St. Croix","Milltown Dam","April 15",NA,2020-06-26 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,7,9,"7-3-9-2020-06-27"
"32","Union","Ellsworth","May 1",NA,2020-07-05 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,8,10,"8-3-10-2020-07-06"
"33","Androscoggin","Brunswick","June 1",NA,2020-07-05 20:00:00,"River.Herring",67,"River Herring",4,1,1,"1-4-1-2020-07-06"
"34","Aroostook","Tinker Dam","July 2",NA,2020-07-02 20:00:00,"River.Herring",0,"River Herring",4,2,11,"2-4-11-2020-07-03"
"35","Kennebec","Benton Falls","May 1",NA,2020-06-28 20:00:00,"River.Herring",2847095,"River Herring",4,3,2,"3-4-2-2020-06-29"
"36","Kennebec","Lockwood Dam","May 1",NA,2020-07-05 20:00:00,"River.Herring",143258,"River Herring",4,3,3,"3-4-3-2020-07-06"
"37","Narraguagus","Cherryfield","April 29",NA,2020-07-04 20:00:00,"River.Herring",0,"River Herring",4,4,4,"4-4-4-2020-07-05"
"38","Penobscot","Milford fish lift","April 22",NA,2020-07-05 20:00:00,"River.Herring",1951005,"River Herring",4,5,5,"5-4-5-2020-07-06"
"39","Penobscot","Orono","April 22",NA,2020-07-05 20:00:00,"River.Herring",121787,"River Herring",4,5,6,"5-4-6-2020-07-06"
"40","Penobscot","Weldon Dam","April 30",NA,2020-07-05 20:00:00,"River.Herring",0,"River Herring",4,5,7,"5-4-7-2020-07-06"
"41","Saco","Cataract (East + West Channels)","May 1",NA,2020-05-04 20:00:00,"River.Herring",2,"River Herring",4,6,8,"6-4-8-2020-05-05"
"42","St. Croix","Milltown Dam","April 15",NA,2020-06-26 20:00:00,"River.Herring",607053,"River Herring",4,7,9,"7-4-9-2020-06-27"
